State,District,Total Sex Ratio,Rural Sex Ration,Urban Ratio,Total Households,Rural Households,Urban Households,Total Households With Electricity Pct,Rural Households With Electricity Pct,Urban Households With Electricity Pct,Total Households With Landline Conn Pct,Rural Households With Landline Conn Pct,Urban Households With Landline Conn Pct,Total Households With Mobile Conn Pct,Rural Households With Mobile Conn Pct,Urban Households With Mobile Conn Pct,Total Households With Internet Pct,Rural Households With Internet Pct,Urban Households With Internet Pct
Bihar,Patna,897.0,904.0,887.0,957441.0,544392.0,413049.0,57.11673095261223,31.958404972887184,90.2750036920559,4.03,2.79,5.67,61.67,53.59,72.32,4.25,0.89,8.68
Bihar,Purba Champaran,902.0,903.0,884.0,984303.0,913167.0,71136.0,7.617471449340295,5.012993242199948,41.05094466936573,2.48,2.44,2.98,55.57,54.95,63.53,0.78,0.65,2.51
Bihar,Purnia,921.0,923.0,907.0,640713.0,576602.0,64111.0,13.431598859395704,8.05304178618874,61.80530642167491,1.48,1.33,2.87,37.65,35.69,55.26,0.65,0.36,3.31
Bihar,Rohtas,918.0,921.0,899.0,455878.0,387316.0,68562.0,25.202576127823672,18.17688915510849,64.89163093258657,2.72,2.57,3.56,64.05,63.17,69.02,1.01,0.75,2.44
Bihar,Aurangabad,926.0,928.0,909.0,387122.0,351828.0,35294.0,11.483718311023399,7.085280307422945,55.32951776505922,2.2,2.13,2.91,57.21,55.83,70.98,0.61,0.48,1.9
Bihar,Saharsa,906.0,908.0,879.0,368212.0,339776.0,28436.0,11.227770958035045,6.805660199660952,64.0666760444507,1.35,1.17,3.47,42.27,40.71,60.95,0.45,0.28,2.46
Bihar,Samastipur,911.0,911.0,901.0,850353.0,822111.0,28242.0,10.35111300836241,8.574754503953844,62.06005240422067,1.97,1.92,3.5,48.55,48.06,62.76,0.63,0.55,3.09
Bihar,Saran,954.0,958.0,912.0,641742.0,585844.0,55898.0,14.770265932415208,10.5645871597217,58.848259329493004,2.47,2.32,3.96,62.12,61.79,65.58,0.7,0.53,2.52
Bihar,Sheikhpura,930.0,936.0,900.0,103748.0,86465.0,17283.0,19.340131857963527,11.36991846411843,59.21425678412313,2.08,1.9,3.03,54.98,53.57,62.04,0.61,0.48,1.27
Bihar,Sheohar,893.0,893.0,889.0,148889.0,143121.0,5768.0,6.719099463358609,5.762257111115769,30.461165048543688,1.52,1.51,1.86,53.3,52.95,61.96,0.32,0.29,1.13
Bihar,Sitamarhi,899.0,900.0,876.0,733083.0,696184.0,36899.0,9.03894920493314,6.918860531123956,49.039269356893136,1.67,1.59,3.22,43.48,42.79,56.52,0.47,0.37,2.44
Bihar,Siwan,988.0,993.0,917.0,544879.0,516701.0,28178.0,9.715000945163972,6.969601374876379,60.05749166016041,2.64,2.63,2.79,69.52,69.12,76.87,0.7,0.58,2.99
Bihar,Supaul,929.0,931.0,892.0,440804.0,420420.0,20384.0,11.57611999891108,9.6134817563389,52.05553375196232,1.42,1.4,1.82,44.35,43.73,57.2,0.42,0.38,1.21
Bihar,Vaishali,895.0,895.0,890.0,632626.0,595165.0,37461.0,11.065147496309036,8.54216897835054,51.149195162969484,2.41,2.38,2.95,57.73,57.36,63.54,0.76,0.65,2.55
Bihar,Banka,907.0,908.0,875.0,380013.0,366656.0,13357.0,16.409701773360386,15.324173066852854,46.207980834019615,1.64,1.63,1.94,44.97,44.56,56.37,0.45,0.41,1.53
Bihar,Begusarai,895.0,896.0,891.0,596110.0,488062.0,108048.0,20.193085168844675,12.636919079952957,54.32492966089145,2.34,2.18,3.11,51.99,50.67,57.95,0.78,0.49,2.09
Bihar,Bhagalpur,880.0,880.0,881.0,563306.0,458960.0,104346.0,30.98387022328894,22.44574690604846,68.53832442067737,2.4,2.03,4.04,50.44,47.9,61.62,1.2,0.63,3.72
Bihar,Bhojpur,907.0,910.0,892.0,415555.0,357782.0,57773.0,14.956624273561864,6.794919811505331,65.50118567496928,2.87,2.68,4.04,59.38,58.31,66.06,0.88,0.61,2.55
Bihar,Buxur,922.0,925.0,893.0,262398.0,236453.0,25945.0,17.820257776355003,12.056095714581756,70.35266910772788,2.71,2.68,2.99,61.97,61.33,67.75,0.68,0.55,1.84
Bihar,Darbhanga,911.0,912.0,903.0,805786.0,732270.0,73516.0,15.815861779678475,10.996217242274025,63.82284128625061,2.13,1.99,3.55,50.58,49.7,59.36,0.78,0.54,3.18
Chandigarh,Chandigarh,818.0,690.0,822.0,235061.0,6785.0,228276.0,98.35914932719592,97.31761238025055,98.39010671292647,5.97,1.84,6.09,63.14,81.92,62.58,18.84,3.55,19.29
Chhattisgarh,Balod,Not available,Not available,Not available,Not available,Not available,Not available,15,15,15,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Chhattisgarh,Durg,988.0,1007.0,959.0,693001.0,422563.0,270438.0,88.61588944316098,85.15321975658068,94.02635724269518,2.44,1.45,4.0,39.17,28.23,56.26,2.33,0.24,5.59
Chhattisgarh,Gariaband,Not available,Not available,Not available,Not available,Not available,Not available,15,15,15,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Chhattisgarh,Janjgir - Champa,986.0,988.0,969.0,377496.0,330103.0,47393.0,89.82611736283297,89.14338857871634,94.58147827738273,1.16,0.99,2.29,27.24,24.03,49.56,0.45,0.23,1.99
Chhattisgarh,Jashpur,1005.0,1008.0,977.0,190527.0,175008.0,15519.0,40.300324888336036,36.33491040409581,85.018364585347,0.86,0.77,1.83,17.18,14.07,52.21,0.3,0.15,1.93
Chhattisgarh,Kanker (Uttar Bastar Kanker),1006.0,1006.0,1010.0,158184.0,141247.0,16937.0,69.67076316188742,66.93664290215014,92.47210249749071,1.04,0.94,1.9,20.42,16.25,55.13,0.37,0.14,2.25
Chhattisgarh,Kawardha (Kabeerdham),996.0,998.0,981.0,176758.0,158483.0,18275.0,85.22895710519467,84.11753942063187,94.8673050615595,0.77,0.68,1.62,22.59,19.72,47.46,0.39,0.27,1.4
Chhattisgarh,Kondagoan,Not available,Not available,Not available,Not available,Not available,Not available,15,15,15,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Chhattisgarh,Korba,969.0,993.0,928.0,277071.0,180798.0,96273.0,73.04264971794233,62.59250655427604,92.66772615375028,1.49,0.73,2.91,28.93,13.77,57.4,1.64,0.17,4.4
Chhattisgarh,Koriya,968.0,987.0,930.0,152075.0,107424.0,44651.0,52.620746342265335,36.14089961274948,92.26893014714116,1.59,1.1,2.76,29.76,16.93,60.64,1.1,0.27,3.09
Chhattisgarh,Mahasamund,1017.0,1020.0,993.0,256504.0,230027.0,26477.0,82.83964382621714,81.7073647876119,92.6766627639083,0.86,0.72,2.1,23.95,21.02,49.38,0.37,0.2,1.93
Chhattisgarh,Balodabazar,Not available,Not available,Not available,Not available,Not available,Not available,15,15,15,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Chhattisgarh,Mungeli,Not available,Not available,Not available,Not available,Not available,Not available,15,15,15,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Chhattisgarh,Narayanpur,994.0,1007.0,930.0,26953.0,22516.0,4437.0,34.56387044113828,24.546988807958787,85.39553752535497,0.67,0.39,2.07,13.4,5.47,53.64,0.32,0.1,1.44
Chhattisgarh,Raigarh,991.0,1000.0,948.0,361664.0,309691.0,51973.0,82.20558308264025,79.96389949982402,95.56308083043119,1.46,1.11,3.5,23.82,18.82,53.59,0.92,0.47,3.65
